# reference: https://statisticstimes.com/geography/countries-by-continents.php
# countries or areas
# no,country or area,iso-alpha3 code,m49 code,region 1,region 2,continent
1,afghanistan,afg,004,southern asia,,asia
2,aland islands,ala,248,northern europe,,europe
3,albania,alb,008,southern europe,,europe
4,algeria,dza,012,northern africa,,africa
5,american samoa,asm,016,polynesia,,oceania
6,andorra,and,020,southern europe,,europe
7,angola,ago,024,middle africa,sub-saharan africa,africa
8,anguilla,aia,660,caribbean,latin america and the caribbean,north america
9,antarctica,ata,010,antarctica,,antarctica
10,antigua and barbuda,atg,028,caribbean,latin america and the caribbean,north america
11,argentina,arg,032,south america,latin america and the caribbean,south america
12,armenia,arm,051,western asia,,asia
13,aruba,abw,533,caribbean,latin america and the caribbean,north america
14,australia,aus,036,australia and new zealand,,oceania
15,austria,aut,040,western europe,,europe
16,azerbaijan,aze,031,western asia,,asia
17,bahamas,bhs,044,caribbean,latin america and the caribbean,north america
18,bahrain,bhr,048,western asia,,asia
19,bangladesh,bgd,050,southern asia,,asia
20,barbados,brb,052,caribbean,latin america and the caribbean,north america
21,belarus,blr,112,eastern europe,,europe
22,belgium,bel,056,western europe,,europe
23,belize,blz,084,central america,latin america and the caribbean,north america
24,benin,ben,204,western africa,sub-saharan africa,africa
25,bermuda,bmu,060,northern america,,north america
26,bhutan,btn,064,southern asia,,asia
27,bolivia,bol,068,south america,latin america and the caribbean,south america
28,bonaire, sint eustatius and saba,bes,535,caribbean,latin america and the caribbean,north america
29,bosnia and herzegovina,bih,070,southern europe,,europe
30,botswana,bwa,072,southern africa,sub-saharan africa,africa
31,bouvet island,bvt,074,south america,latin america and the caribbean,south america
32,brazil,bra,076,south america,latin america and the caribbean,south america
33,british indian ocean territory,iot,086,eastern africa,sub-saharan africa,africa
34,uk virgin islands,vgb,092,caribbean,latin america and the caribbean,north america
35,brunei darussalam,brn,096,south-eastern asia,,asia
36,bulgaria,bgr,100,eastern europe,,europe
37,burkina faso,bfa,854,western africa,sub-saharan africa,africa
38,burundi,bdi,108,eastern africa,sub-saharan africa,africa
39,cabo verde,cpv,132,western africa,sub-saharan africa,africa
40,cambodia,khm,116,south-eastern asia,,asia
41,cameroon,cmr,120,middle africa,sub-saharan africa,africa
42,canada,can,124,northern america,,north america
43,cayman islands,cym,136,caribbean,latin america and the caribbean,north america
44,central african republic,caf,140,middle africa,sub-saharan africa,africa
45,chad,tcd,148,middle africa,sub-saharan africa,africa
46,chile,chl,152,south america,latin america and the caribbean,south america
47,china,chn,156,eastern asia,,asia
47-2,taiwan,chn,156,eastern asia,,asia
48,hong kong, china special administrative region,hkg,344,eastern asia,,asia
49,macao, china special administrative region,mac,446,eastern asia,,asia
50,christmas island,cxr,162,australia and new zealand,,oceania
51,cocos islands,cck,166,australia and new zealand,,oceania
52,colombia,col,170,south america,latin america and the caribbean,south america
53,comoros,com,174,eastern africa,sub-saharan africa,africa
54,congo,cog,178,middle africa,sub-saharan africa,africa
55,cook islands,cok,184,polynesia,,oceania
56,costa rica,cri,188,central america,latin america and the caribbean,north america
